"store","websites","attribute_set","type","category_ids","sku","has_options_disable","name","country_of_manufacture","is_returnable","msrp_enabled","msrp_display_actual_price_type","meta_title","meta_description","image_empty","small_image_empty","thumbnail_empty","custom_design","page_layout","options_container","gift_message_available","gift_wrapping_available","url_key","weight","price","special_price","msrp","gift_wrapping_price","status","visibility","ebizmarts_mark_visited","tax_class_id","is_recurring","description","short_description","tax_code","depth","height","width","fixed_shipping_price","meta_keyword","custom_layout_update","news_from_date","news_to_date","special_from_date","special_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","brand","color","cost"
"admin","base","Đồ sơ sinh","simple","","QL14GX","0","Quần lót giấy đẹp","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","20000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Quần lót giấy đẹp","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","QL4.5GR","0","Quần lót giấy rẻ","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","8000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Quần lót giấy rẻ","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","BR3.5HSP","0","Băng rốn","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","3500","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Băng rốn","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","BTC22MC","0","Bộ bao tay chân Mom's care","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","35000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Bộ bao tay chân Mom's care","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","DANTL15G","0","Bộ hình dán trang trí cánh tủ lạnh","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","15000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Bộ hình dán trang trí cánh tủ lạnh","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","BTC20TLA","0","Bộ bao tay chân Thái","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","25000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Bộ bao tay chân Thái","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","CNRN200FP","0","Cá ngựa ru ngủ Fisher Price","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","240000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Cá ngựa ru ngủ Fisher Price","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","CL210CART1.5","0","Chăn lông Carter 1mx1,5m","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","240000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Chăn lông Carter 1mx1,5m","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","CL80CART2L","0","Chăn lông ss 2 lớp Carter","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","110000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Chăn lông ss 2 lớp Carter","0","simple","","","","",""
"admin","base","Đồ sơ sinh","simple","","CLU120NGA","0","Chăn lưới xuất Nga 1mx1,5m","","Use config","Use config","Use config","","","","","","","No layout updates","Product Info Column","No","No","","1","160000","","","","Enabled","Catalog, Search","No","Taxable Goods","No","","","","1","1","1","","","","","","","","","","","1","1","0","0","1","1","1","0","1","1","","","1","1","1","0","1","0","1","0","0","0","1","Chăn lưới xuất Nga 1mx1,5m","0","simple","","","","",""
